subjectid,gender,height,weight,handedness,age,race
11863,male,168,85.8,right,23,black
11866,male,158.1,56,right,19,white
11871,male,173.1,75.4,right,47,hispanic
11872,male,182.5,94.1,right,31,white
11875,male,163.5,92,right,39,white
11876,male,173.6,90.5,right,35,white
11877,male,169.2,102.1,right,34,hispanic
11878,male,166.5,65,right,24,white
11880,male,185.6,97.7,right,31,white
11881,male,187.4,113,right,23,white
11884,male,167.2,89.4,right,28,white
11885,male,180.7,76.3,right,20,white
11886,male,189.2,124.1,right,24,white
11887,male,179.5,87.6,right,21,white
11890,male,179.8,68.9,right,19,black
11892,male,172.1,73.6,right,21,white
11895,male,168.7,75.9,right,21,white
11896,male,174.5,70.2,right,20,white
11897,male,183.6,101.8,right,51,white
11905,male,175.1,88.7,right,34,white
11909,male,185.6,126.6,right,39,black
11930,male,170.2,84.2,right,31,hispanic
11935,male,171.7,69.9,left,23,white
11944,male,175.9,71.3,right,20,white
11948,male,178.9,109.9,right,29,white
11953,male,183.8,104.2,right,29,native_american
11967,male,163.9,63.3,right,20,asian
11969,male,167.4,92.1,right,44,black
11977,male,174.5,95.5,right,38,white
11979,male,166.2,70.9,left,21,white
11980,male,167.4,77.3,right,19,white
11983,male,168.8,78.1,right,25,white
12004,male,174.4,101.7,right,31,white
12016,male,177.3,102.8,right,28,black
12019,male,183.5,91,right,25,black
12021,male,173.6,78.7,right,36,black
12023,male,166.8,78.1,right,32,white
12044,male,179.1,93.1,right,28,white
12047,male,181.6,79.3,right,33,white
12048,male,178.1,81.2,right,29,white
12057,male,175.9,62.1,right,22,white
12058,male,167.3,75.8,left,26,white
12059,male,173.4,74.5,right,21,white
12060,male,164,81.9,right,28,hispanic
12062,male,166.3,71.4,right,28,white
12064,male,164.6,86.5,right,40,black
12065,male,181,109.1,right,19,white
12102,male,170.1,78,right,19,white
12103,male,185,94.2,right,20,white
12123,male,176.4,83.2,right,30,white
12128,male,186.3,83.8,left,26,white
12129,male,176.4,98.7,right,19,white
12134,male,181.1,95.8,right,42,white
12142,male,179.5,96.2,right,20,white
12149,male,158.3,54.5,right,21,hispanic
12156,male,176.8,77.7,left,19,white
12157,male,188.6,81.9,right,20,white
12162,male,168.1,88.5,right,42,hispanic
12163,male,169.8,79.1,left,42,white
12164,male,170.8,86.8,right,35,hispanic
12169,male,164.2,85.4,right,45,hispanic
12172,male,178.9,100.8,right,28,white
12174,male,166.4,80.7,right,46,white
12175,male,188,102.1,right,27,native_american
12178,male,174,92.2,right,33,hispanic
12180,male,171,65.6,right,42,hispanic
12181,male,173.8,86.4,right,22,white
12184,male,177.7,81.2,right,28,white
12185,male,161.3,70.9,right,43,pacific_islander
12190,male,164.9,87,left,29,white
12191,male,178.6,78,right,24,black
12199,male,173,73.4,right,33,white
12206,male,176.3,81.9,right,19,white
12207,male,176.8,61.8,right,20,white
12208,male,183.4,73.2,right,19,white
12214,male,176.7,68.2,right,20,white
12224,male,184.4,91,right,21,white
12232,male,185.9,79.5,right,20,white
12235,male,174,85.9,right,20,white
12243,male,170.4,69.4,right,19,white
12244,male,180.7,107.5,right,21,white
12247,male,171.8,65.7,right,18,white
12253,male,175,69,right,19,white
12258,male,171.6,70,right,36,pacific_islander
12261,male,177,84.2,right,31,white
12265,male,186.5,94.9,right,21,black
12269,male,175.9,71.5,right,20,white
12288,male,192.6,101,right,29,black
12292,male,170.5,70,right,27,other
12297,male,178.1,82.5,right,24,hispanic
12301,male,176.6,81,right,22,white
12303,male,181.4,80.7,right,22,white
12304,male,183,81.9,right,21,white
12311,male,173.8,68.4,right,19,white
12317,male,186.8,90.4,right,23,hispanic
12318,male,166.8,90.6,right,37,white
12319,male,185.3,109.4,left,39,black
12320,male,157.1,77.4,right,29,hispanic
12321,male,172.3,90.4,right,21,white
12337,male,182.9,99.2,right,29,white
12338,male,169.6,77.7,right,31,white
12339,male,172.7,62.8,left,19,white
12348,male,178.5,79.1,right,19,white
12350,male,169.8,66.2,left,21,white
12356,male,184.5,86.8,right,32,white
12357,male,177.2,76.8,left,28,white
12358,male,171.4,85.6,right,38,white
12359,male,177.2,94.2,right,24,white
12361,male,174.7,79.9,left,36,white
12363,male,174.3,85.6,right,32,white
12366,male,176.6,89.9,right,29,native_american
12367,male,180,120.4,left,27,white
12368,male,178.4,74.4,right,28,black
12369,male,177.3,80.9,right,21,white
12370,male,172.7,73.2,right,21,white
12372,male,171.9,77.8,right,31,white
12377,male,180.1,60.3,right,23,white
12382,male,178.1,72.4,right,28,white
12386,male,171.3,83,right,37,white
12392,male,174.9,78.4,right,24,white
12394,male,161.9,66.3,right,21,hispanic
12397,male,165.8,76,right,38,white
12399,male,182.2,93.7,right,32,black
12411,male,173,93.1,right,28,white
12417,male,166.1,75.6,right,30,white
12420,male,185.8,83.3,right,27,white
12422,male,176.5,75.7,right,23,hispanic
12425,male,195.2,100.8,right,26,white
12427,male,180,104.2,right,20,white
12428,male,170.8,69.2,left,18,white
12432,male,174.9,91,right,31,hispanic
12435,male,164.9,86.1,left,33,white
12436,male,170.5,83.5,right,35,white
12438,male,183.6,99.4,right,21,white
12440,male,182.5,64.5,left,20,white
12441,male,165.3,61.3,right,26,black
12442,male,172,70.8,right,30,white
12444,male,170.8,88.9,right,28,white
12447,male,172.5,83.6,right,25,white
12448,male,183.5,118,right,28,white
12449,male,172.8,85.9,left,22,white
12450,male,174.8,89.2,right,27,white
12451,male,180.5,75.1,right,28,black
