participant,lex,spell,resp,rt,prev.rt,rt.raw
12,N,losepays,W,NA,499,773
41,N,cugged,N,465,395,465
10,N,lirps,N,537,486,537
47,W,kind,W,511,542,511
27,N,vont,N,580,1081,580
90,N,leansvold,N,524,490,524
7,W,molds,W,485,489,485
75,N,squave,N,656,812,656
94,N,tratists,N,459,471,459
1,N,cellies,N,792,652,792
43,W,snatchers,W,599,768,599
7,N,fread,N,573,707,573
10,N,seagoves,N,1344,560,1344
103,W,squirm,W,562,497,562
103,W,chapter,W,474,583,474
22,N,blounded,N,632,470,632
19,W,fraught,W,633,900,633
71,N,daggle,N,528,927,528
4,W,labours,W,391,434,391
68,W,rondeaux,N,NA,1226,942
63,W,bought,W,537,637,537
70,W,lifer,N,NA,641,573
29,N,fordened,N,527,677,527
105,N,fondism,N,827,541,827
7,N,coltip,N,582,484,582
96,N,hawls,W,NA,565,677
101,N,lonk,N,770,564,770
51,W,imprint,W,516,515,516
73,N,gearly,N,1306,639,1306
47,N,gots,N,664,602,664
14,W,paisley,W,613,617,613
65,W,savers,N,NA,1168,5815
53,W,swilled,W,716,489,716
31,N,hunned,N,792,539,792
71,N,seiss,N,764,590,764
43,W,slinks,W,860,589,860
55,N,outflirt,N,NA,512,1505
90,W,zipper,W,624,527,624
79,W,creasing,W,559,509,559
41,W,wiping,W,590,726,590
32,W,tonal,W,678,500,678
73,W,granules,W,1056,728,1056
24,N,cleld,N,513,545,513
52,N,foaped,N,694,784,694
94,W,strangeness,W,508,522,508
7,N,cupbils,N,565,699,565
82,W,searches,W,705,528,705
13,W,drains,W,565,484,565
44,W,jousting,W,518,417,518
90,W,glints,W,898,680,898
73,W,options,W,550,1383,550
75,N,douchers,N,1397,566,1397
68,W,greed,W,505,653,505
100,N,doobs,N,431,710,431
24,W,bunnies,W,668,623,668
86,W,outlaw,W,576,495,576
19,N,reriege,N,765,876,765
47,N,ingreed,N,556,557,556
16,W,careful,W,1297,1578,1297
17,N,airplop,N,389,399,389
21,N,baytime,N,1437,1511,1437
3,W,flayed,W,495,893,495
79,N,shundy,N,646,634,646
10,W,prolix,N,NA,439,380
7,W,linesmen,W,552,620,552
9,N,chass,N,686,525,686
41,W,murphy,N,NA,522,811
35,W,woes,W,461,457,461
30,W,gladly,W,655,643,655
27,W,yeah,W,445,1207,445
22,N,meety,N,463,492,463
65,N,concugged,N,830,758,830
22,N,brandmess,N,578,1230,578
28,N,disharge,N,573,574,573
32,N,krifo,N,508,607,508
101,N,couthing,N,1004,557,1004
30,W,sew,N,NA,473,524
90,W,cloaking,W,643,NA,643
66,N,towid,N,756,1681,756
10,N,likyer,N,747,807,747
97,N,feasings,N,585,555,585
82,N,lautch,N,550,1301,550
21,W,misty,W,665,523,665
1,W,shafting,W,553,571,553
100,N,pimba,N,433,512,433
31,N,ceme,N,595,597,595
81,N,prolf,N,637,508,637
65,W,galleys,W,760,603,760
2,W,tweaks,W,508,474,508
32,W,twitchers,W,528,510,528
45,N,behecks,N,562,729,562
32,N,hootman,N,838,568,838
85,N,waffs,N,506,471,506
35,N,toge,N,475,638,475
64,N,seemstone,N,732,1006,732
86,W,only,W,412,586,412
63,N,remper,W,NA,639,1004
64,W,fishbone,N,NA,683,582
11,W,wreathe,N,NA,510,528
70,N,ashdess,N,NA,510,2256
21,N,strureened,N,1122,865,1122
44,W,loopy,W,402,381,402
22,N,hovetout,N,957,712,957
16,W,resin,W,NA,620,1576
92,N,hoach,N,675,998,675
84,W,breathe,W,766,442,766
7,W,chile,N,NA,724,1004
13,N,covver,N,1160,635,1160
81,N,betpress,N,428,623,428
51,W,condoned,W,436,531,436
34,W,jibs,N,NA,781,756
4,W,warlike,W,444,490,444
14,W,ails,W,524,540,524
28,N,cown,W,NA,680,498
44,W,wig,W,596,665,596
85,W,fowler,W,1330,431,1330
14,N,nagur,N,539,639,539
75,W,stoke,W,776,786,776
105,N,quiggling,N,732,541,732
50,N,chud,N,724,682,724
73,W,scalded,W,924,574,924
84,N,spanges,N,979,797,979
37,N,dischair,N,571,473,571
29,N,sillen,N,708,548,708
45,W,burnished,W,732,691,732
27,N,sasbers,N,488,652,488
85,N,trunches,W,NA,372,762
44,N,rainfoot,N,632,435,632
14,W,beatings,W,491,754,491
16,W,airedale,N,NA,1339,652
44,N,chemper,N,430,475,430
54,N,tomaged,N,639,559,639
71,W,clockwork,W,513,478,513
98,N,droor,N,481,628,481
101,N,undrished,N,791,751,791
10,W,symptoms,W,608,577,608
81,W,catwalk,W,429,608,429
7,W,shafting,W,518,533,518
97,W,petalled,W,798,676,798
67,N,kide,N,431,459,431
46,N,gustored,N,879,709,879
37,N,engliet,N,554,571,554
72,W,stoppings,N,NA,940,1355
21,W,cowgirls,W,785,763,785
19,W,thaws,W,555,388,555
45,N,tinchens,N,524,723,524
29,N,quideing,N,483,513,483
34,N,solboors,N,432,644,432
6,W,tillage,N,NA,845,800
79,N,borgrel,N,709,866,709
74,W,wounds,W,457,603,457
31,W,culled,W,511,793,511
52,W,cantor,W,642,579,642
105,W,planed,W,1044,533,1044
6,W,helper,W,540,473,540
47,W,tortures,W,543,594,543
73,W,garbed,N,NA,576,1070
64,N,hobtot,N,512,527,512
68,N,howned,N,NA,522,2891
17,W,joules,N,NA,501,423
36,N,pildis,N,517,534,517
98,N,crailbred,N,455,517,455
67,N,brited,N,583,585,583
68,W,glacial,W,542,610,542
35,W,ratty,W,NA,435,1256
18,N,ronings,N,490,487,490
19,N,retond,N,767,573,767
53,W,broomstick,W,449,478,449
17,N,lutters,N,508,340,508
85,W,twitted,W,NA,1029,2625
34,W,meanings,W,468,498,468
86,N,ayshay,N,705,1180,705
73,N,phlorise,N,756,1115,756
51,N,drulo,N,525,341,525
98,N,nudgemark,N,504,519,504
65,W,finders,W,861,691,861
73,N,chirtage,N,709,866,709
28,W,rotas,W,NA,1457,1436
85,W,ambience,W,542,376,542
45,W,lampooned,W,797,708,797
24,N,guc,N,637,658,637
67,W,phallic,W,576,777,576
17,N,beeched,W,NA,450,469
65,W,forenames,W,NA,471,4537
103,N,wisked,N,NA,701,1159
71,W,parterre,N,NA,692,717
2,N,moanschaum,N,554,587,554
97,W,pullout,W,446,826,446
94,W,swirling,W,520,668,520
50,W,busker,W,698,606,698
55,W,dire,W,827,405,827
11,N,dirtom,N,988,506,988
98,W,niceness,W,575,360,575
105,N,daving,N,628,633,628
101,W,memo,W,578,545,578
35,W,whiteness,W,497,962,497
47,W,hubby,N,NA,608,926
72,W,twain,N,NA,565,1012
4,N,mandines,N,675,396,675
35,W,bounced,W,493,409,493
15,W,shipment,N,NA,674,445
16,N,fapte,N,539,488,539
54,N,almed,N,687,927,687
12,N,porwide,N,655,526,655
35,W,sleazy,W,631,368,631
105,N,dinotts,N,787,662,787
3,W,waistline,W,576,477,576
37,N,whiddy,N,516,531,516
92,N,crithing,N,955,639,955
10,W,zebras,W,718,492,718
46,N,sests,N,482,612,482
77,W,germs,W,450,1147,450
86,N,slibs,N,686,825,686
15,W,keels,N,NA,677,479
47,N,bowtin,N,634,821,634
50,N,rentend,N,766,626,766
94,N,hatchpock,N,559,726,559
37,N,butched,N,876,606,876
12,W,enthralled,W,1349,700,1349
42,N,encuel,N,477,475,477
7,W,duchess,W,757,549,757
17,N,gingwim,N,370,580,370
52,W,reject,W,528,812,528
46,N,briskers,W,NA,736,1016
8,W,sketched,W,549,884,549
82,W,formic,W,672,544,672
89,N,birms,N,429,459,429
98,W,host,W,468,465,468
43,W,lounger,W,1003,1038,1003
16,W,handcuff,W,603,522,603
14,W,moist,W,584,969,584
54,W,leaky,W,885,1033,885
82,W,lodes,N,NA,492,541
14,W,cabal,N,NA,792,526
70,W,consort,W,1375,659,1375
52,N,nerncades,N,443,856,443
77,W,yobs,W,522,1054,522
34,N,reather,N,644,532,644
89,N,flonish,N,466,512,466
64,W,trickier,W,NA,649,1668
103,N,orms,N,558,542,558
71,W,smoothness,W,765,725,765
67,N,lirince,N,506,904,506
12,N,outshorn,N,933,599,933
70,W,stables,W,514,696,514
85,N,eightearch,N,428,539,428
75,W,attain,W,1004,658,1004
63,N,shash,N,504,818,504
92,N,tointers,N,932,798,932
89,W,batters,W,432,527,432
4,N,thollby,N,442,404,442
63,W,shred,W,1131,1121,1131
21,N,decise,W,NA,653,711
44,W,feasts,W,533,632,533
75,N,ertrier,N,572,1223,572
50,N,toze,N,576,593,576
36,W,platefuls,N,NA,506,508
89,N,thirbish,N,493,674,493
30,N,reetside,N,735,659,735
1,N,treeps,N,607,610,607
42,W,icepack,W,574,476,574
13,N,lohas,N,1010,629,1010
36,W,soupçon,N,NA,483,502
50,W,saddles,W,692,582,692
22,W,sardine,W,545,429,545
18,N,shong,N,511,494,511
1,N,lisedess,N,679,619,679
89,N,rals,N,472,486,472
42,W,purchased,W,840,635,840
68,N,systisse,N,465,511,465
85,W,rote,N,NA,505,458
12,W,sunray,N,NA,1254,1082
51,N,gancens,N,370,547,370
92,W,coaxes,W,699,990,699
19,N,skedening,N,657,1446,657
81,N,tinsier,N,755,480,755
1,N,hogtush,N,679,568,679
63,N,virpers,N,477,374,477
31,W,blackly,W,761,653,761
46,W,revoke,W,482,546,482
1,W,carport,W,779,605,779
46,N,bathy,N,614,567,614
70,N,vectue,N,584,469,584
96,W,service,W,614,617,614
24,N,pilt,N,646,617,646
46,N,dadcons,N,693,933,693
5,N,roze,N,495,543,495
51,N,scyer,N,543,560,543
31,W,dodgers,W,536,636,536
3,W,monday,W,411,705,411
18,N,firchly,N,520,535,520
30,W,houseboys,N,NA,594,1006
9,W,gleams,W,1192,787,1192
55,W,pails,N,NA,506,601
97,W,remits,W,544,577,544
79,W,raring,W,1025,795,1025
41,W,summonsed,N,NA,503,809
34,N,massole,N,543,610,543
100,W,hopeless,N,NA,593,335
88,N,creeky,W,NA,664,1267
7,N,graweers,N,553,654,553
74,W,cuts,W,450,596,450
42,W,what,W,699,556,699
4,N,brearths,N,459,438,459
88,N,innowed,N,701,988,701
78,N,funches,N,673,578,673
6,N,introse,N,1153,512,1153
78,N,gassolled,N,NA,755,2362
67,N,martikes,N,624,595,624
20,N,glavers,N,NA,2096,1921
92,W,sweatband,W,712,1535,712
21,W,choke,W,669,592,669
74,W,pitfalls,W,639,826,639
20,N,rebiels,N,1490,580,1490
12,W,jousts,W,788,799,788
63,W,wreath,W,618,488,618
100,W,couplet,W,522,388,522
42,W,showed,W,530,730,530
29,N,conforn,W,NA,495,497
42,W,junking,N,NA,542,542
9,W,crinkle,W,545,511,545
82,W,slaloms,W,623,560,623
13,W,oofs,N,NA,560,654
21,W,faith,W,597,493,597
103,N,ruddince,N,729,535,729
43,W,huddled,W,717,557,717
2,N,sunshone,W,NA,495,691
11,W,strata,W,1004,573,1004
17,W,beets,N,NA,672,1115
30,W,swung,W,784,561,784
2,N,ymphs,N,532,466,532
72,N,bozed,N,470,485,470
50,W,maunders,N,NA,449,533
50,W,beaut,N,NA,924,604
35,N,ochish,N,565,399,565
9,W,freer,N,NA,1286,727
