spell,old20,bnc,subtlex
anea,1.85,0,0
aneat,1.9,0,0
aneau,2.1,0,0
anebome,2.9,0,0
aned,1.5,0,0
anemns,2.65,0,0
aner,1.8,0,0
anew,1.9,191,44
anfals,2.2,0,0
anfol,2.35,0,0
angder,1.9,0,0
angders,1.9,0,0
angdete,3,0,0
angeing,1.8,0,0
angel,1.9,1517,1430
angels,1.85,785,517
anger,1.45,3881,902
angered,2,347,28
angers,1.5,64,17
angies,1.95,0,0
angkill,2.9,0,0
angle,1.5,2479,733
angled,1.6,287,11
angler,1.7,197,13
anglers,1.8,508,2
angles,1.45,1258,161
angling,1.7,293,18
angrier,2.6,56,35
angrired,2.9,0,0
angry,2,4226,2890
angsits,2.95,0,0
angst,2,116,41
anguals,2.55,0,0
anguish,2.7,569,106
anguished,3.1,200,9
anid,1.65,0,0
anire,1.9,0,0
anired,1.95,0,0
anis,1.75,21,0
anise,1.85,14,3
ankhiles,2.9,0,0
ankicks,2.75,0,0
ankle,1.8,973,399
ankles,1.75,508,217
anklet,2.15,6,21
anklets,2.35,11,5
anks,1.3,0,0
anna,1.8,2787,1
annaled,2.6,0,0
annalked,2.9,0,0
annals,1.8,159,27
annas,1.85,4,1
annatched,3.15,0,0
annaws,2.45,0,0
annealed,2.75,14,0
anned,1.6,0,0
anneived,2.95,0,0
annex,1.95,199,28
annexe,2.65,177,6
annexed,2.45,165,7
annise,2.45,0,0
announce,2.45,1120,484
announced,2.45,10533,287
annoy,1.9,242,126
annoyed,2.7,928,170
annoys,2.35,105,30
annual,2.15,8154,314
annuals,2.3,82,2
annul,2,35,22
annulled,2.95,96,40
anob,1.8,0,0
anode,1.85,35,1
anoint,2.4,16,10
anoints,2.6,7,1
anom,1.9,1,0
anon,1.85,53,10
anopt,1.95,0,0
anote,1.85,0,0
ansham,2.9,0,0
anshrix,3.75,0,0
anslipt,3,0,0
ansshome,3.4,0,0
anst,1.8,0,0
ansus,1.95,0,0
ansuy,2.45,0,0
ansved,2.7,0,0
answens,2.75,0,0
answer,2.55,14421,8076
answered,2.8,3791,769
answers,2.6,3667,1493
ant,1.25,443,200
antail,2.05,0,0
antalves,3,0,0
antarme,3,0,0
antaxe,2.8,0,0
antaxed,2.8,0,0
antay,2,0,0
ante,1.75,162,79
anteging,2.55,0,0
antes,1.85,6,2
anthel,2.2,0,0
anthem,2.3,307,75
anthems,2.5,99,3
anther,1.75,7,2
anthers,1.8,23,1
anthill,2.9,15,29
anthills,2.9,7,6
anthorse,2.75,0,0
anthrax,3.1,27,38
anti,1.85,243,20
antics,2.15,246,49
antique,2.8,871,296
antiques,2.85,534,106
antiss,2.1,0,0
antler,1.85,29,14
antleres,2.75,0,0
antlers,1.85,107,43
antox,2,0,0
ants,1.4,569,329
antu,1.8,0,0
antyl,2.2,0,0
anun,1.85,0,0
anus,1.8,140,49
anveashed,3.35,0,0
anvend,2.4,0,0
anvil,2.05,74,26
anvils,2.2,3,8
anvy,1.9,0,0
anwot,2.2,0,0
anx,1.75,0,0
anxious,2.75,3101,705
any,1.75,124108,49853
anyne,1.95,0,0
aoade,2,0,0
aoers,1.8,0,0
aoft,1.75,0,0
aouse,1.5,0,0
apace,1.85,105,3
apache,2.45,130,17
apart,1.95,3507,2281
ape,1.05,214,387
apeard,2,0,0
aped,1.45,23,0
apeeve,2.65,0,0
aper,1.5,0,0
apes,1.15,263,172
apests,1.95,0,0
apevouse,3.3,0,0
apex,1.85,321,18
apeze,2.2,0,0
aphed,1.85,0,0
aphid,1.9,38,4
aphids,2.45,120,9
aphis,1.85,6,3
aphoot,2.7,0,0
aphs,1.9,0,0
apiece,2.45,215,196
apile,1.85,0,0
apille,2.45,0,0
apine,1.7,5,0
aping,1.75,21,1
apips,1.95,0,0
aplol,2.25,0,0
aplomb,2.95,82,8
apock,1.95,0,0
apose,1.8,0,0
appal,1.9,15,2
appalled,2.8,599,57
appals,2.1,12,2
appalves,2.75,0,0
appeal,2.3,11002,650
appealed,2.35,1388,55
appeals,2.25,1632,119
appear,2.2,10914,1168
appeared,2.4,10666,491
appears,2.2,7658,1033
appease,2.2,128,25
appeased,2.3,40,9
append,1.95,65,0
appends,2.25,6,0
apper,1.75,0,1
appers,1.85,0,0
appiant,2.8,0,0
appiene,2.85,0,0
appiened,2.85,0,0
appins,2,0,0
applaud,2.75,190,101
applauds,3.05,17,12
applause,2.75,574,460
apple,1.8,2654,878
appleams,2.85,0,0
apples,1.85,858,370
applied,2.3,7606,301
appliene,2.85,0,0
applies,2.25,2784,127
apply,1.85,7945,594
appoint,2.6,1035,101
appoints,2.6,187,6
appoomed,2.9,0,0
appoose,2.55,0,0
